Code,Region,Remove
ABER,Lake Turkana,0
ABI_SHA,Remove,1
ABTL,Remove,1
ADX,Remove,1
AIHS,Southern Drylands,0
AKA,Victoria Basin & Albertine Rift Forests,0
AMB,Lake Turkana,0
ANG,Sahel,0
ANME,Remove,1
ARAW,Lake Turkana,0
ARP,Sudanian Savanna,0
ART,Sudanian Savanna,0
ARUSH,Subequatorial Savannas & Woodlands,0
ATNR,Remove,1
AWA,Remove,1
BAD,Remove,1
BAHR,Sudanian Savanna,0
BALE,Lake Turkana,0
BAN,Subequatorial Savannas & Woodlands,0
BANC,Remove,1
BANG,Subequatorial Savannas & Woodlands,0
BAZ,Remove,1
BEN,Remove,1
BIC,Subequatorial Savannas & Woodlands,0
BIND,Sudanian Savanna,0
BON,Sudanian Savanna,0
BOU,Congolian Forests,0
BUD,Victoria Basin & Albertine Rift Forests,0
BUF,Southern Drylands,0
BURU,Victoria Basin & Albertine Rift Forests,0
CAM,Subequatorial Savannas & Woodlands,0
CAMP,Remove,1
CAN,Subequatorial Savannas & Woodlands,0
CHOB,Subequatorial Savannas & Woodlands,0
CLIF,Sudanian Savanna,0
COM,Sudanian Savanna,0
CON,Remove,1
DAAN,Southern Drylands,0
DEUX,Sudanian Savanna,0
ETO,Subequatorial Savannas & Woodlands,0
FADA,Sahel,0
GAM,Sudanian Savanna,0
GAR,Remove,1
GILE,Subequatorial Savannas & Woodlands,0
GISH,Victoria Basin & Albertine Rift Forests,0
GOLD,Remove,1
GOMB,Victoria Basin & Albertine Rift Forests,0
GONA,Subequatorial Savannas & Woodlands,0
GORO,Subequatorial Savannas & Woodlands,0
HELL,Subequatorial Savannas & Woodlands,0
HGS,Remove,1
HWA,Subequatorial Savannas & Woodlands,0
IONA,Southern Drylands,0
KAB,Sudanian Savanna,0
KAFF,Subequatorial Savannas & Woodlands,0
KAFNP,Subequatorial Savannas & Woodlands,0
KAK,Victoria Basin & Albertine Rift Forests,0
KAP,Remove,1
KFR,Sudanian Savanna,0
KGA,Southern Drylands,0
KHA,Subequatorial Savannas & Woodlands,0
KIBA,Victoria Basin & Albertine Rift Forests,0
KIBI,Victoria Basin & Albertine Rift Forests,0
KID,Lake Turkana,0
KILI,Lake Turkana,0
KIZI,Subequatorial Savannas & Woodlands,0
KNY,Remove,1
KOR,Remove,1
KRU,Subequatorial Savannas & Woodlands,0
KSA,Subequatorial Savannas & Woodlands,0
LACF,Sahel,0
LAKMA,Subequatorial Savannas & Woodlands,0
LAKMW,Subequatorial Savannas & Woodlands,0
LAKN,Lake Turkana,0
LAKR,Subequatorial Savannas & Woodlands,0
LATE,Congolian Forests,0
LCW,Remove,1
LEF,Congolian Forests,0
LENG,Subequatorial Savannas & Woodlands,0
LIWO,Subequatorial Savannas & Woodlands,0
LOL,Lake Turkana,0
LOPE,Remove,1
LUA,Subequatorial Savannas & Woodlands,0
LUE,Subequatorial Savannas & Woodlands,0
MAD,Sudanian Savanna,0
MAG,Subequatorial Savannas & Woodlands,0
MAGO,Lake Turkana,0
MAJ,Subequatorial Savannas & Woodlands,0
MANA,Subequatorial Savannas & Woodlands,0
MANFR,Sahel,0
MANNP,Sudanian Savanna,0
MAP,Remove,1
MARE,Sudanian Savanna,0
MARO,Remove,1
MARS,Lake Turkana,0
MASA,Subequatorial Savannas & Woodlands,0
MASS,Remove,1
MAT,Subequatorial Savannas & Woodlands,0
MATO,Subequatorial Savannas & Woodlands,0
MAV,Subequatorial Savannas & Woodlands,0
MED,Remove,1
MERU,Lake Turkana,0
MGSF,Sudanian Savanna,0
MIKU,Subequatorial Savannas & Woodlands,0
