Code,Community,Country,Lat,Long
ABTL,Abou Telfane,Chad,12.08,18.89
BAHR,Bahr Salamat,Chad,10.56,19.43
BIND,Binder Lere,Chad,9.66,14.46
FADA,Fada Archei,Chad,16.97,21.4
LACF,Lac Fitri,Chad,12.77,17.43
MANNP,Manda,Chad,9.41,18.02
MANFR,Mandelia,Chad,11.54,15.21
OROA,Ouadi Rime Ouadi Achim,Chad,15.52,19.25
SIM,Siniaka Minia,Chad,10.44,18.2
ZAK,Zakouma,Chad,10.82,19.67
ANG,Ansongo Menaka,Mali,15.53,1.7
CLIF,Cliff of Bandiagara,Mali,14.37,-3.37
CON,Conkouati Douli,Congo,-3.93,11.45
LATE,Lac Tele,Congo,1.19,17.23
LEF,Lefini,Congo,-2.74,15.43
MTFO,Mont Fouari,Congo,-2.8,11.61
NOU,Nouabale Ndoki,Congo,2.5,16.6
NYA,Nyanga Nord,Congo,-2.96,11.83
ODZ,Odzala Kokoua,Congo,0.98,14.92
TSO,Tsoulou,Congo,-3.58,12.5
LOPE,Lope,Gabon,-0.53,11.54
ABER,Aberdare,Kenya,-0.38,36.68
AMB,Amboseli,Kenya,-2.64,37.24
ANME,Arabuko Sokoke,Kenya,-3.33,39.89
ARAW,Arawale,Kenya,-1.41,40.15
HELL,Hells Gate,Kenya,-0.88,36.32
KAK,Kakamega,Kenya,0.33,34.86
LAKN,Lake Nakuru,Kenya,-0.39,36.1
LOL,Lolldaiga,Kenya,0.122,37.13
MARS,Marsabit,Kenya,2.27,37.96
MASA,Masai Mara,Kenya,-1.47,35.11
MERU,Meru,Kenya,0.1,38.2
MTE,Mount Elgon,Kenya,1.19,34.51
MTK,Mount Kenya,Kenya,-0.12,37.34
NAI,Nairobi,Kenya,-1.38,36.86
SAM,Samburu,Kenya,0.61,37.54
SHNR,Shimba Hills,Kenya,-4.26,39.4
TSA,Tsavo,Kenya,-2.78,38.77
ADX,Addax,Niger,19.48,9.5
ATNR,Air and Tenere,Niger,19.12,9.67
PWN,Parc W Niger,Niger,12.31,2.41
RFG,Reserve de faune de Gadabedji,Niger,15.14,7.15
TAM,Tamou,Niger,12.6,2.3
BIC,Bicuar,Angola,-15.29,14.81
BUF,Buffalo,Angola,-12.77,13.8
CAM,Cameia,Angola,-11.91,21.64
CAN,Cangandala,Angola,-9.87,16.73
IONA,Iona,Angola,-16.64,12.33
LUA,Luando,Angola,-11.01,17.38
LUE,Luengue Luiana,Angola,-17.4,22.52
MAV,Mavinga,Angola,-15.55,20.99
MOC,Mocamedes,Angola,-15.64,12.42
MUPA,Mupa,Angola,-15.96,15.54
QNP,QuiðÜma,Angola,-9.75,13.62
BAD,Badiar,Guinea,12.59,-13.28
MASS,Massif du Ziama,Guinea,8.28,-9.34
MTN,Mount Nimba Strict,Guinea,7.65,-8.41
RPON,Rio Pongo,Guinea,10.13,-14.15
KSA,Kasungu,Malawi,-12.92,33.13
LCW,Lake Chilwa,Malawi,-15.25,35.68
LENG,Lengwe,Malawi,-16.22,34.57
LIWO,Liwonde,Malawi,-14.86,35.34
MAJ,Majete,Malawi,-15.92,34.62
MWAB,Mwabvi,Malawi,-16.71,35.02
NKH,Nkhotakota,Malawi,-12.87,34.03
NYK,Nyika,Malawi,-10.57,33.85
VMW,Vwaza Marsh,Malawi,-11.01,33.45
